wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
DISPATCHER_QUEUE_SEMAPHORE,5,600042,120001,0
PWAIT_EXTENSIBILITY_CLEANUP_TASK,1,300000,300000,300000
QDS_PERSIST_TASK_MAIN_LOOP_SLEEP,1,60000,60000,0
SOS_WORK_DISPATCHER,45,58199,10000,1
XE_DISPATCHER_WAIT,1,39185,39185,0
SLEEP_TASK,25,18101,1025,0
LOGMGR_QUEUE,126,15121,129,0
HADR_FILESTREAM_IOMGR_IOCOMPLETION,16,8003,501,0
LAZYWRITER_SLEEP,8,8001,1000,0
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,2,8000,4000,0
DIRTY_PAGE_POLL,75,7553,101,0
XE_TIMER_EVENT,5,6289,3479,6289
REQUEST_FOR_DEADLOCK_SEARCH,1,5000,5000,5000
BROKER_TO_FLUSH,4,4097,1025,0
PREEMPTIVE_OS_CRYPTOPS,6,56,28,0
WAIT_ON_SYNC_STATISTICS_REFRESH,4,11,4,0
WRITELOG,4,8,3,0
PREEMPTIVE_OS_AUTHENTICATIONOPS,4,8,3,0
PREEMPTIVE_OS_WRITEFILE,1,2,2,0
PREEMPTIVE_OS_QUERYREGISTRY,30,2,0,0
RESOURCE_QUEUE,0,0,0,0
TRAN_MARKLATCH_DT,0,0,0,0
TRAN_MARKLATCH_EX,0,0,0,0
TRAN_MARKLATCH_UP,0,0,0,0
TRAN_MARKLATCH_SH,0,0,0,0
TRAN_MARKLATCH_KP,0,0,0,0
TRAN_MARKLATCH_NL,0,0,0,0
PAGEIOLATCH_DT,0,0,0,0
PAGEIOLATCH_EX,0,0,0,0
PAGEIOLATCH_UP,0,0,0,0
PAGEIOLATCH_SH,0,0,0,0
PAGEIOLATCH_KP,0,0,0,0
PAGEIOLATCH_NL,0,0,0,0
PAGELATCH_DT,0,0,0,0
PAGELATCH_EX,0,0,0,0
PAGELATCH_UP,0,0,0,0
PAGELATCH_SH,0,0,0,0
PAGELATCH_KP,0,0,0,0
PAGELATCH_NL,0,0,0,0
PWAIT_LATCH_ONLY,0,0,0,0
LATCH_DT,0,0,0,0
LATCH_EX,0,0,0,0
LATCH_UP,0,0,0,0
LATCH_SH,0,0,0,0
LATCH_KP,0,0,0,0
LATCH_NL,0,0,0,0
LCK_M_SCH_C,0,0,0,0
LCK_M_SCH_A,0,0,0,0
LCK_M_RX_X,0,0,0,0
LCK_M_RX_U,0,0,0,0

(50 rows affected)
