wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
LCK_M_RS_U,49056,92813523,4385,5194
SOS_WORK_DISPATCHER,170503,88051854,388079,41319
DISPATCHER_QUEUE_SEMAPHORE,16,959877,120000,2
SLEEP_TASK,1273,899800,2001,14
LOGMGR_QUEUE,63193,709706,129,428
PVS_PREALLOCATE,60268,391498,73294,2268
CHECKPOINT_QUEUE,80,374764,51497,1
XE_DISPATCHER_WAIT,8,359564,80819,0
XE_TIMER_EVENT,105,356273,5002,356273
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,89,356007,4000,0
HADR_FILESTREAM_IOMGR_IOCOMPLETION,710,355450,513,6
DIRTY_PAGE_POLL,3529,355059,101,2
REQUEST_FOR_DEADLOCK_SEARCH,71,355019,5004,355019
LAZYWRITER_SLEEP,375,354783,1018,15
QDS_PERSIST_TASK_MAIN_LOOP_SLEEP,5,300002,60000,0
PWAIT_EXTENSIBILITY_CLEANUP_TASK,1,300000,300000,300000
SP_SERVER_DIAGNOSTICS_SLEEP,1289,299999,299999,299999
BROKER_TO_FLUSH,174,177284,1049,3
BROKER_TASK_STOP,11,130011,10001,2
QDS_ASYNC_QUEUE,2,73026,72847,0
WRITELOG,33052,16800,52,1265
PREEMPTIVE_OS_CRYPTOPS,1335,13813,41,0
PREEMPTIVE_OS_AUTHENTICATIONOPS,890,2036,12,0
SOS_SCHEDULER_YIELD,36046,652,28,639
PREEMPTIVE_OS_WRITEFILEGATHER,1,541,541,0
PREEMPTIVE_OS_NETVALIDATEPASSWORDPOLICY,445,257,6,0
PAGEIOLATCH_UP,6,175,83,0
LCK_M_IX,215,134,2,10
PREEMPTIVE_XE_GETTARGETSTATE,13,43,23,0
PREEMPTIVE_OS_QUERYREGISTRY,335,33,1,0
MEMORY_ALLOCATION_EXT,32276,26,3,0
PREEMPTIVE_OS_NETVALIDATEPASSWORDPOLICYFREE,445,24,4,0
PREEMPTIVE_OS_WRITEFILE,3,15,10,0
PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,445,11,3,0
WRITE_COMPLETION,4,2,0,0
IO_COMPLETION,4,1,0,0
PREEMPTIVE_OS_GENERICOPS,6,1,0,0
PREEMPTIVE_OS_FLUSHFILEBUFFERS,1,1,1,0
LCK_M_S_XACT_MODIFY,1,1,1,0
RESOURCE_QUEUE,0,0,0,0
LCK_M_RS_S,0,0,0,0
LCK_M_BU,0,0,0,0
LCK_M_UIX,0,0,0,0
LCK_M_SIX,0,0,0,0
LCK_M_SIU,0,0,0,0
TRAN_MARKLATCH_DT,0,0,0,0
TRAN_MARKLATCH_EX,0,0,0,0
TRAN_MARKLATCH_UP,0,0,0,0
TRAN_MARKLATCH_SH,0,0,0,0
TRAN_MARKLATCH_KP,0,0,0,0

(50 rows affected)
