wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
LCK_M_RS_U,53020,169504857,7257,11985
SOS_WORK_DISPATCHER,59295,73112664,139949,26594
THREADPOOL,136714,45341599,2426,2
SLEEP_TASK,1282,1799787,900001,22
DISPATCHER_QUEUE_SEMAPHORE,11,971320,120000,12
LOGMGR_QUEUE,62922,708714,129,451
PVS_PREALLOCATE,58311,419291,95970,3655
CHECKPOINT_QUEUE,82,376274,47716,2
XE_DISPATCHER_WAIT,9,369249,70582,0
QDS_PERSIST_TASK_MAIN_LOOP_SLEEP,6,360003,60001,0
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,89,356006,4000,0
REQUEST_FOR_DEADLOCK_SEARCH,71,355025,5010,355025
DIRTY_PAGE_POLL,3525,354657,101,3
HADR_FILESTREAM_IOMGR_IOCOMPLETION,708,354573,531,35
LAZYWRITER_SLEEP,374,353779,1017,9
XE_TIMER_EVENT,107,353037,5005,352584
PWAIT_EXTENSIBILITY_CLEANUP_TASK,1,300000,300000,300000
SP_SERVER_DIAGNOSTICS_SLEEP,1206,299999,299999,299999
BROKER_TO_FLUSH,173,177291,1034,18
BROKER_TASK_STOP,13,130007,10000,0
QDS_ASYNC_QUEUE,2,95513,95435,0
PREEMPTIVE_OS_CRYPTOPS,2595,26687,42,0
WRITELOG,32721,17673,33,2845
PREEMPTIVE_OS_AUTHENTICATIONOPS,1730,4286,13,0
SOS_SCHEDULER_YIELD,38876,1257,52,1243
PREEMPTIVE_OS_NETVALIDATEPASSWORDPOLICY,865,554,8,0
PREEMPTIVE_OS_WRITEFILEGATHER,1,541,541,0
PAGEIOLATCH_UP,5,204,168,0
PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,865,163,3,0
PREEMPTIVE_OS_QUERYREGISTRY,1380,124,4,0
PREEMPTIVE_XE_GETTARGETSTATE,14,55,23,0
MEMORY_ALLOCATION_EXT,60054,46,8,0
PREEMPTIVE_OS_WRITEFILE,4,27,20,0
PREEMPTIVE_OS_NETVALIDATEPASSWORDPOLICYFREE,865,17,4,0
PREEMPTIVE_XE_TARGETINIT,2,4,3,0
PREEMPTIVE_XE_TARGETFINALIZE,2,2,2,0
WRITE_COMPLETION,4,2,0,0
PAGELATCH_SH,115,1,0,1
PAGELATCH_EX,1,1,1,1
PREEMPTIVE_XE_SESSIONCOMMIT,5,1,0,0
IO_COMPLETION,4,1,0,0
PREEMPTIVE_OS_GENERICOPS,6,1,0,0
PREEMPTIVE_OS_FLUSHFILEBUFFERS,1,1,1,0
RESOURCE_QUEUE,0,0,0,0
PAGELATCH_UP,0,0,0,0
PAGEIOLATCH_SH,0,0,0,0
PAGEIOLATCH_KP,0,0,0,0
PAGEIOLATCH_NL,0,0,0,0
PAGELATCH_DT,0,0,0,0
TRAN_MARKLATCH_DT,0,0,0,0

(50 rows affected)
