wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
SOS_WORK_DISPATCHER,59,254830,15002,2
SLEEP_TASK,37,22102,1025,0
LOGMGR_QUEUE,140,16849,129,0
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,3,12000,4000,0
LAZYWRITER_SLEEP,9,9002,1000,0
DIRTY_PAGE_POLL,84,8457,101,0
HADR_FILESTREAM_IOMGR_IOCOMPLETION,16,8003,501,0
BROKER_TO_FLUSH,4,5120,1024,0
REQUEST_FOR_DEADLOCK_SEARCH,1,5000,5000,5000
XE_TIMER_EVENT,1,4999,4999,4999
PREEMPTIVE_OS_CRYPTOPS,6,56,28,0
WAIT_ON_SYNC_STATISTICS_REFRESH,4,12,3,0
WRITELOG,4,9,3,0
PREEMPTIVE_OS_AUTHENTICATIONOPS,4,8,4,0
PREEMPTIVE_OS_WRITEFILE,1,3,3,0
RESOURCE_QUEUE,0,0,0,0
TRAN_MARKLATCH_DT,0,0,0,0
TRAN_MARKLATCH_EX,0,0,0,0
TRAN_MARKLATCH_UP,0,0,0,0
TRAN_MARKLATCH_SH,0,0,0,0
TRAN_MARKLATCH_KP,0,0,0,0
TRAN_MARKLATCH_NL,0,0,0,0
PAGEIOLATCH_DT,0,0,0,0
PAGEIOLATCH_EX,0,0,0,0
PAGEIOLATCH_UP,0,0,0,0
PAGEIOLATCH_SH,0,0,0,0
PAGEIOLATCH_KP,0,0,0,0
PAGEIOLATCH_NL,0,0,0,0
PAGELATCH_DT,0,0,0,0
PAGELATCH_EX,0,0,0,0
PAGELATCH_UP,0,0,0,0
PAGELATCH_SH,0,0,0,0
PAGELATCH_KP,0,0,0,0
PAGELATCH_NL,0,0,0,0
PWAIT_LATCH_ONLY,0,0,0,0
LATCH_DT,0,0,0,0
LATCH_EX,0,0,0,0
LATCH_UP,0,0,0,0
LATCH_SH,0,0,0,0
LATCH_KP,0,0,0,0
LATCH_NL,0,0,0,0
LCK_M_SCH_C,0,0,0,0
LCK_M_SCH_A,0,0,0,0
LCK_M_RX_X,0,0,0,0
LCK_M_RX_U,0,0,0,0
LCK_M_RX_S,0,0,0,0
LCK_M_RIn_X,0,0,0,0
LCK_M_RIn_U,0,0,0,0
LCK_M_RIn_S,0,0,0,0
LCK_M_RIn_NL,0,0,0,0

(50 rows affected)
