wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
LCK_M_RS_U,53567,163073609,6063,1915
SOS_WORK_DISPATCHER,65023,70225629,148684,9978
THREADPOOL,127516,40454452,1888,4
DISPATCHER_QUEUE_SEMAPHORE,6,970393,120012,0
SLEEP_TASK,1200,891779,2013,32
LOGMGR_QUEUE,51050,702328,143,344
CHECKPOINT_QUEUE,83,414660,79613,1
PVS_PREALLOCATE,58600,401892,79969,791
XE_DISPATCHER_WAIT,8,393798,118014,0
QDS_PERSIST_TASK_MAIN_LOOP_SLEEP,6,360041,60011,0
FT_IFTS_SCHEDULER_IDLE_WAIT,6,360010,60002,0
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,88,352540,4015,0
HADR_FILESTREAM_IOMGR_IOCOMPLETION,696,351536,516,11
DIRTY_PAGE_POLL,3213,351383,115,4
LAZYWRITER_SLEEP,356,351178,1016,11
XE_TIMER_EVENT,105,350579,5014,350579
REQUEST_FOR_DEADLOCK_SEARCH,70,350436,5014,350436
SP_SERVER_DIAGNOSTICS_SLEEP,1,300006,300006,300006
BROKER_TO_FLUSH,171,174980,1040,5
BROKER_TASK_STOP,12,120092,10014,1
QDS_ASYNC_QUEUE,2,79606,79484,0
PREEMPTIVE_OS_CRYPTOPS,2520,66005,83,0
WRITELOG,33152,15616,263,340
PREEMPTIVE_OS_AUTHENTICATIONOPS,2538,1782,5,0
PREEMPTIVE_OS_WRITEFILEGATHER,2,1056,529,0
PAGEIOLATCH_UP,44,559,262,0
SOS_SCHEDULER_YIELD,39886,496,41,482
PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,840,184,4,0
PREEMPTIVE_XE_GETTARGETSTATE,26,98,25,0
MEMORY_ALLOCATION_EXT,60145,36,0,0
PREEMPTIVE_OS_AUTHORIZATIONOPS,843,32,3,0
PREEMPTIVE_OS_QUERYREGISTRY,1370,25,4,0
PREEMPTIVE_SERVICE_CONTROL_MANGER,55,8,0,0
ASYNC_NETWORK_IO,327,7,0,2
PREEMPTIVE_OS_FILEOPS,6,5,2,0
PAGELATCH_SH,125,2,0,1
PAGELATCH_EX,2,2,2,2
XE_BUFFERMGR_ALLPROCESSED_EVENT,3,1,0,0
PREEMPTIVE_OS_WRITEFILE,4,1,0,0
RESOURCE_QUEUE,0,0,0,0
PAGELATCH_UP,0,0,0,0
PAGEIOLATCH_SH,0,0,0,0
PAGEIOLATCH_KP,0,0,0,0
PAGEIOLATCH_NL,0,0,0,0
PAGELATCH_DT,0,0,0,0
TRAN_MARKLATCH_DT,0,0,0,0
TRAN_MARKLATCH_EX,0,0,0,0
TRAN_MARKLATCH_UP,0,0,0,0
TRAN_MARKLATCH_SH,0,0,0,0
TRAN_MARKLATCH_KP,0,0,0,0

(50 rows affected)
