wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
SOS_WORK_DISPATCHER,74,317466,20035,2
QDS_PERSIST_TASK_MAIN_LOOP_SLEEP,1,60014,60014,0
SLEEP_TASK,38,23267,1038,0
LOGMGR_QUEUE,138,18693,143,0
REQUEST_FOR_DEADLOCK_SEARCH,2,10013,5012,10013
HADR_FILESTREAM_IOMGR_IOCOMPLETION,19,9633,513,0
DIRTY_PAGE_POLL,86,9288,115,0
LAZYWRITER_SLEEP,9,9059,1013,0
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,2,8009,4005,0
XE_TIMER_EVENT,3,6500,5004,6500
BROKER_TO_FLUSH,4,5160,1038,0
PREEMPTIVE_OS_CRYPTOPS,6,149,74,0
PREEMPTIVE_OS_AUTHENTICATIONOPS,6,3,1,0
RESOURCE_QUEUE,0,0,0,0
TRAN_MARKLATCH_DT,0,0,0,0
TRAN_MARKLATCH_EX,0,0,0,0
TRAN_MARKLATCH_UP,0,0,0,0
TRAN_MARKLATCH_SH,0,0,0,0
TRAN_MARKLATCH_KP,0,0,0,0
TRAN_MARKLATCH_NL,0,0,0,0
PAGEIOLATCH_DT,0,0,0,0
PAGEIOLATCH_EX,0,0,0,0
PAGEIOLATCH_UP,0,0,0,0
PAGEIOLATCH_SH,0,0,0,0
PAGEIOLATCH_KP,0,0,0,0
PAGEIOLATCH_NL,0,0,0,0
PAGELATCH_DT,0,0,0,0
PAGELATCH_EX,0,0,0,0
PAGELATCH_UP,0,0,0,0
PAGELATCH_SH,0,0,0,0
PAGELATCH_KP,0,0,0,0
PAGELATCH_NL,0,0,0,0
PWAIT_LATCH_ONLY,0,0,0,0
LATCH_DT,0,0,0,0
LATCH_EX,0,0,0,0
LATCH_UP,0,0,0,0
LATCH_SH,0,0,0,0
LATCH_KP,0,0,0,0
LATCH_NL,0,0,0,0
LCK_M_SCH_C,0,0,0,0
LCK_M_SCH_A,0,0,0,0
LCK_M_RX_X,0,0,0,0
LCK_M_RX_U,0,0,0,0
LCK_M_RX_S,0,0,0,0
LCK_M_RIn_X,0,0,0,0
LCK_M_RIn_U,0,0,0,0
LCK_M_RIn_S,0,0,0,0
LCK_M_RIn_NL,0,0,0,0
LCK_M_RS_U,0,0,0,0
LCK_M_RS_S,0,0,0,0

(50 rows affected)
