wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
SLEEP_TASK,38,924315,900015,0
SP_SERVER_DIAGNOSTICS_SLEEP,1,300002,300002,300002
SOS_WORK_DISPATCHER,78,255809,35050,2
QDS_PERSIST_TASK_MAIN_LOOP_SLEEP,1,60005,60005,0
LOGMGR_QUEUE,146,19813,143,0
HADR_FILESTREAM_IOMGR_IOCOMPLETION,20,10114,512,0
REQUEST_FOR_DEADLOCK_SEARCH,2,10008,5004,10008
XE_TIMER_EVENT,4,10000,5000,10000
DIRTY_PAGE_POLL,93,9933,115,0
LAZYWRITER_SLEEP,9,9075,1015,0
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,2,8006,4003,0
BROKER_TO_FLUSH,5,4122,1036,0
PREEMPTIVE_OS_CRYPTOPS,6,161,80,0
PREEMPTIVE_OS_AUTHENTICATIONOPS,6,3,1,0
MEMORY_ALLOCATION_EXT,2658,1,0,0
RESOURCE_QUEUE,0,0,0,0
TRAN_MARKLATCH_DT,0,0,0,0
TRAN_MARKLATCH_EX,0,0,0,0
TRAN_MARKLATCH_UP,0,0,0,0
TRAN_MARKLATCH_SH,0,0,0,0
TRAN_MARKLATCH_KP,0,0,0,0
TRAN_MARKLATCH_NL,0,0,0,0
PAGEIOLATCH_DT,0,0,0,0
PAGEIOLATCH_EX,0,0,0,0
PAGEIOLATCH_UP,0,0,0,0
PAGEIOLATCH_SH,0,0,0,0
PAGEIOLATCH_KP,0,0,0,0
PAGEIOLATCH_NL,0,0,0,0
PAGELATCH_DT,0,0,0,0
PAGELATCH_EX,0,0,0,0
PAGELATCH_UP,0,0,0,0
PAGELATCH_SH,0,0,0,0
PAGELATCH_KP,0,0,0,0
PAGELATCH_NL,0,0,0,0
PWAIT_LATCH_ONLY,0,0,0,0
LATCH_DT,0,0,0,0
LATCH_EX,0,0,0,0
LATCH_UP,0,0,0,0
LATCH_SH,0,0,0,0
LATCH_KP,0,0,0,0
LATCH_NL,0,0,0,0
LCK_M_SCH_C,0,0,0,0
LCK_M_SCH_A,0,0,0,0
LCK_M_RX_X,0,0,0,0
LCK_M_RX_U,0,0,0,0
LCK_M_RX_S,0,0,0,0
LCK_M_RIn_X,0,0,0,0
LCK_M_RIn_U,0,0,0,0
LCK_M_RIn_S,0,0,0,0
LCK_M_RIn_NL,0,0,0,0

(50 rows affected)
