wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
SOS_WORK_DISPATCHER,167832,102618546,385748,32073
LCK_M_RS_U,46898,98076662,5179,1034
DISPATCHER_QUEUE_SEMAPHORE,6,960058,120010,0
SLEEP_TASK,1323,897150,2011,47
LOGMGR_QUEUE,50083,707520,143,323
PVS_PREALLOCATE,56492,415818,97437,757
FT_IFTS_SCHEDULER_IDLE_WAIT,6,360022,60007,0
XE_DISPATCHER_WAIT,7,359363,104320,0
CHECKPOINT_QUEUE,81,359246,38393,1
REQUEST_FOR_DEADLOCK_SEARCH,71,355465,5014,355465
LAZYWRITER_SLEEP,361,354157,1015,8
HADR_FILESTREAM_IOMGR_IOCOMPLETION,702,354120,516,7
DIRTY_PAGE_POLL,3262,354084,116,4
XE_TIMER_EVENT,104,353909,5014,353909
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,88,352590,4015,0
QDS_PERSIST_TASK_MAIN_LOOP_SLEEP,5,300031,60013,10
SP_SERVER_DIAGNOSTICS_SLEEP,1,300004,300004,300004
BROKER_TO_FLUSH,172,177088,1040,1
BROKER_TASK_STOP,10,120068,10015,3
QDS_ASYNC_QUEUE,2,97196,97059,0
PREEMPTIVE_OS_CRYPTOPS,1413,38098,85,0
WRITELOG,31152,15051,263,327
PREEMPTIVE_OS_WRITEFILEGATHER,2,1059,530,0
PREEMPTIVE_OS_AUTHENTICATIONOPS,1425,951,4,0
PAGEIOLATCH_UP,133,552,262,1
SOS_SCHEDULER_YIELD,39859,545,4,530
PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,471,67,4,0
LCK_M_IX,90,35,1,0
MEMORY_ALLOCATION_EXT,32499,27,0,0
PREEMPTIVE_XE_GETTARGETSTATE,11,27,23,0
PREEMPTIVE_OS_QUERYREGISTRY,343,23,4,0
PREEMPTIVE_OS_AUTHORIZATIONOPS,473,19,3,0
PREEMPTIVE_SERVICE_CONTROL_MANGER,60,9,0,0
ASYNC_NETWORK_IO,234,5,0,1
PREEMPTIVE_OS_FILEOPS,6,5,2,0
PREEMPTIVE_OS_DELETESECURITYCONTEXT,4,3,3,0
CMEMTHREAD,9,1,1,1
PREEMPTIVE_OS_WRITEFILE,4,1,0,0
RESOURCE_QUEUE,0,0,0,0
LCK_M_RS_S,0,0,0,0
LCK_M_BU,0,0,0,0
LCK_M_UIX,0,0,0,0
LCK_M_SIX,0,0,0,0
LCK_M_SIU,0,0,0,0
TRAN_MARKLATCH_DT,0,0,0,0
TRAN_MARKLATCH_EX,0,0,0,0
TRAN_MARKLATCH_UP,0,0,0,0
TRAN_MARKLATCH_SH,0,0,0,0
TRAN_MARKLATCH_KP,0,0,0,0
TRAN_MARKLATCH_NL,0,0,0,0

(50 rows affected)
