wait_type,waiting_tasks_count,wait_time_ms,max_wait_time_ms,signal_wait_time_ms
---------,-------------------,------------,----------------,-------------------
LCK_M_RS_U,52239,163580275,6417,2021
SOS_WORK_DISPATCHER,64192,108940544,219903,9614
THREADPOOL,124447,41691960,2785,4
SLEEP_TASK,1295,1814805,900005,16
DISPATCHER_QUEUE_SEMAPHORE,6,968590,120009,1
LOGMGR_QUEUE,50370,721732,144,338
PVS_PREALLOCATE,58451,472938,150457,761
CHECKPOINT_QUEUE,82,437824,112409,1
QDS_PERSIST_TASK_MAIN_LOOP_SLEEP,7,420048,60014,3
XE_DISPATCHER_WAIT,7,418314,164605,0
SQLTRACE_INCREMENTAL_FLUSH_SLEEP,91,364755,4015,0
XE_TIMER_EVENT,110,362210,5014,362210
LAZYWRITER_SLEEP,368,361396,1015,8
DIRTY_PAGE_POLL,3308,361257,115,6
HADR_FILESTREAM_IOMGR_IOCOMPLETION,715,360795,516,30
REQUEST_FOR_DEADLOCK_SEARCH,72,360385,5015,360385
FT_IFTS_SCHEDULER_IDLE_WAIT,6,360037,60014,0
SP_SERVER_DIAGNOSTICS_SLEEP,1,300002,300002,300002
BROKER_TO_FLUSH,175,181503,1040,1
QDS_ASYNC_QUEUE,2,150083,149979,0
BROKER_TASK_STOP,15,130091,10015,1
PREEMPTIVE_OS_CRYPTOPS,2535,63690,80,0
WRITELOG,32173,15216,263,318
PREEMPTIVE_OS_AUTHENTICATIONOPS,2547,1842,8,0
PREEMPTIVE_OS_WRITEFILEGATHER,2,1059,529,0
PAGEIOLATCH_UP,42,558,263,0
SOS_SCHEDULER_YIELD,41741,528,17,513
PREEMPTIVE_OS_CRYPTACQUIRECONTEXT,845,178,4,0
PREEMPTIVE_XE_GETTARGETSTATE,13,51,23,0
MEMORY_ALLOCATION_EXT,60889,41,0,0
PREEMPTIVE_OS_AUTHORIZATIONOPS,847,34,4,0
PREEMPTIVE_OS_QUERYREGISTRY,1379,19,4,0
PREEMPTIVE_OS_DEVICEOPS,17,9,1,0
PREEMPTIVE_SERVICE_CONTROL_MANGER,55,9,0,0
PREEMPTIVE_OS_FILEOPS,6,5,2,0
ASYNC_NETWORK_IO,127,2,0,0
PAGELATCH_SH,121,1,0,0
PREEMPTIVE_OS_WRITEFILE,4,1,0,0
RESOURCE_QUEUE,0,0,0,0
PAGEIOLATCH_SH,0,0,0,0
PAGEIOLATCH_KP,0,0,0,0
PAGEIOLATCH_NL,0,0,0,0
PAGELATCH_DT,0,0,0,0
PAGELATCH_EX,2,0,0,0
PAGELATCH_UP,0,0,0,0
TRAN_MARKLATCH_DT,0,0,0,0
TRAN_MARKLATCH_EX,0,0,0,0
TRAN_MARKLATCH_UP,0,0,0,0
TRAN_MARKLATCH_SH,0,0,0,0
TRAN_MARKLATCH_KP,0,0,0,0

(50 rows affected)
